old_cross,cross,strain,group,mat,ho,ade2
H1,BSc1,LL2013_040,Scer,alpha,hoΔ::kanMX4,ade2Δ::hphNT1
H2,BSc2,LL2013_054,Scer,alpha,hoΔ::natMX4,ade2Δ::hphNT1
M1,BA1,YPS644,SpA,alpha,hoΔ::kanMX4,ade2Δ::hphNT1
M2,BA2,YPS744,SpA,alpha,hoΔ::natMX4,ade2Δ::hphNT1
VL2,BB2,LL2012_021,SpB,alpha,hoΔ::natMX4,ade2Δ::hphNT1
VL1,BB1,LL2012_028,SpB,alpha,hoΔ::kanMX4,ade2Δ::hphNT1
M1,BA1,MSH-604,SpB,a,hoΔ::natMX4,ade2Δ::hphNT1
VL1,BB1,MSH-604,SpB,a,hoΔ::natMX4,ade2Δ::hphNT1
L1,BC1,MSH-604,SpB,a,hoΔ::natMX4,ade2Δ::hphNT1
H1,BSc1,MSH-604,SpB,a,hoΔ::natMX4,ade2Δ::hphNT1
M2,BA2,UWOPS-91-202,SpB,a,hoΔ::kanMX4,ade2Δ::hphNT1
VL2,BB2,UWOPS-91-202,SpB,a,hoΔ::kanMX4,ade2Δ::hphNT1
L2,BC2,UWOPS-91-202,SpB,a,hoΔ::kanMX4,ade2Δ::hphNT1
H2,BSc2,UWOPS-91-202,SpB,a,hoΔ::kanMX4,ade2Δ::hphNT1
VL5,CC3,LL2011_001,SpC,a,hoΔ::kanMX4,ade2Δ::hphNT1
L1,BC1,LL2011_004,SpC,alpha,hoΔ::kanMX4,ade2Δ::hphNT1
VL3,CC1,LL2011_004,SpC,alpha,hoΔ::kanMX4,ade2Δ::hphNT1
L2,BC2,LL2011_009,SpC,alpha,hoΔ::natMX4,ade2Δ::hphNT1
VL4,CC2,LL2011_009,SpC,alpha,hoΔ::natMX4,ade2Δ::hphNT1
VL5,CC3,LL2011_009,SpC,alpha,hoΔ::natMX4,ade2Δ::hphNT1
VL4,CC2,LL2011_012,SpC,a,hoΔ::kanMX4,ade2Δ::hphNT1
VL3,CC1,MSH-587-1,SpC,a,hoΔ::natMX4,ade2Δ::hphNT1
